N,MSE
438,5.821059458197949e-26
439,5.820244622260287e-26
440,5.81946460090313e-26
441,5.812362295857021e-26
442,5.811553744987699e-26
443,5.811111761404356e-26
444,5.81064704943003e-26
445,5.810339802844072e-26
446,5.809818343105249e-26
447,5.809526708701655e-26
448,5.808884899318781e-26
449,5.808406177775952e-26
450,5.80790467800162e-26
451,5.807711952420494e-26
452,5.807020738126035e-26
453,5.806744752905871e-26
454,5.806140143382055e-26
455,5.805872810234328e-26
456,5.805594994034847e-26
457,5.804140354162971e-26
458,5.803577631259905e-26
459,5.80242880701351e-26
460,5.801975772332854e-26
461,5.802040466974546e-26
462,5.801814944101945e-26
463,5.80171203580344e-26
464,5.801523639274222e-26
465,5.801058826482334e-26
466,5.800594433825692e-26
467,5.800709311450422e-26
468,5.800502127511057e-26
469,5.80070610768163e-26
470,5.80039997772266e-26
471,5.800593465914699e-26
472,5.800371444364993e-26
473,5.800578030951882e-26
474,5.800432920635277e-26
475,5.8006953500039e-26
476,5.800428582147312e-26
477,5.800452593963842e-26
478,5.800302497228605e-26
479,5.800510849918062e-26
480,5.800336431748983e-26
481,5.8007762266836e-26
482,5.800594676869822e-26
483,5.800517927676691e-26
484,5.800386601977017e-26
485,5.800685325523855e-26
486,5.80052483414025e-26
487,5.800550416490159e-26
488,5.8003589273817e-26
489,5.800605087520291e-26
490,5.800451396374369e-26
491,5.800511992808157e-26
492,5.800420032904507e-26
493,5.80042604207716e-26
494,5.800323604503341e-26
495,5.800000956270023e-26
496,5.799858207007809e-26
497,5.800397799960614e-26
498,5.800047737829396e-26
499,5.800217925297933e-26
500,5.800202506652288e-26
501,5.800327758907373e-26
502,5.800340583419876e-26
503,5.800392468332154e-26
504,5.800319699689025e-26
505,5.800494891149679e-26
506,5.800504166763388e-26
507,5.800845622937563e-26
508,5.800649075674913e-26
509,5.800756330498785e-26
510,5.800684973273981e-26
511,5.800778134780253e-26
512,5.800688396374852e-26
513,5.80008410031624e-26
514,5.799889962693916e-26
515,5.799812557937904e-26
516,5.799530667823458e-26
517,5.799472523127943e-26
518,5.799330411460985e-26
519,5.799114776810075e-26
520,5.798918080946238e-26
521,5.798949670832546e-26
522,5.798698070196954e-26
523,5.798624017033188e-26
524,5.798422782665489e-26
525,5.798204417617061e-26
526,5.798141415717813e-26
527,5.79794640271114e-26
528,5.797856097382659e-26
529,5.797919770770461e-26
530,5.797924259880747e-26
531,5.797750591719535e-26
532,5.79774788344556e-26
533,5.797743157916917e-26
534,5.797612367224451e-26
535,5.797432080016529e-26
536,5.797298389260025e-26
537,5.79705822505129e-26
538,5.796914246578644e-26
539,5.796654027005288e-26
540,5.796641124173963e-26
541,5.796502869015152e-26
542,5.796435806768963e-26
543,5.796190257497868e-26
544,5.79607933063315e-26
545,5.795946792776356e-26
546,5.795882803326274e-26
547,5.795766871564586e-26
548,5.795725602463737e-26
549,5.795567831334695e-26
550,5.795338834083965e-26
551,5.795193718374336e-26
552,5.794987154871073e-26
553,5.795009807558515e-26
554,5.79491556460547e-26
555,5.794562088480713e-26
556,5.794484368844513e-26
557,5.794585259003275e-26
558,5.794468701816512e-26
559,5.794315791011787e-26
560,5.794221174344773e-26
561,5.794300006709744e-26
562,5.79418670579314e-26
563,5.79413979868796e-26
564,5.794120485419003e-26
565,5.794031874289108e-26
566,5.793952478738758e-26
567,5.793900761875342e-26
568,5.793875500950892e-26
569,5.793892468860303e-26
570,5.79387130303761e-26
571,5.793800563806138e-26
572,5.793696829343497e-26
573,5.793632559122795e-26
574,5.793603895161508e-26
575,5.79352986313894e-26
576,5.793533627446829e-26
577,5.79342056720601e-26
578,5.793279175903766e-26
579,5.793004700856362e-26
580,5.79292784433739e-26
581,5.792877260998502e-26
582,5.792802354878607e-26
583,5.792773784162574e-26
584,5.792588849796446e-26
585,5.792527155675548e-26
586,5.792495431280801e-26
587,5.792301329404079e-26
588,5.792272121554751e-26
589,5.792095112992098e-26
590,5.792046512646784e-26
591,5.792087373960026e-26
592,5.791961550711306e-26
593,5.791942760554379e-26
594,5.792007957310844e-26
595,5.791812209490749e-26
596,5.791731331705061e-26
597,5.791669088195545e-26
598,5.791625489166424e-26
599,5.791479510675641e-26
600,5.791434055348657e-26
601,5.791150703310102e-26
602,5.791134523060594e-26
603,5.791038031867235e-26
604,5.791096610737666e-26
605,5.790845455167939e-26
606,5.79074398726515e-26
607,5.790705787341856e-26
608,5.790583572255657e-26
609,5.79059656856681e-26
610,5.790432867653108e-26
611,5.790347043687292e-26
612,5.79018466734215e-26
613,5.790113011816472e-26
614,5.789917783885129e-26
615,5.789857086282503e-26
616,5.789803472744125e-26
617,5.789770709469878e-26
618,5.789619786416435e-26
619,5.789670162805291e-26
620,5.78952648357989e-26
621,5.789427576575171e-26
622,5.789342021501068e-26
623,5.789293911591015e-26
624,5.789221834622537e-26
625,5.789252195148785e-26
626,5.7891678630119e-26
627,5.789206635027838e-26
628,5.789195934584677e-26
629,5.78910417354966e-26
630,5.78901129462113e-26
631,5.78898854556347e-26
632,5.788913089938344e-26
633,5.789006684903962e-26
634,5.789001525816365e-26
635,5.788937997572915e-26
636,5.788874635595029e-26
637,5.788783588140311e-26
638,5.788696639817059e-26
639,5.788764337422896e-26
640,5.788669608108521e-26
641,5.788461632374322e-26
642,5.788352142195047e-26
643,5.788272271325578e-26
644,5.788196867906843e-26
645,5.788036700794252e-26
646,5.788015502732144e-26
647,5.787991268302328e-26
648,5.787896215350984e-26
649,5.787782476451855e-26
650,5.787771330104252e-26
651,5.787658990522471e-26
652,5.78753139456434e-26
653,5.787503849930395e-26
654,5.787473586429705e-26
655,5.787471512645987e-26
656,5.787386317056664e-26
657,5.787410870871265e-26
658,5.787366595059437e-26
659,5.787151126638064e-26
660,5.787180219749415e-26
661,5.786968005371152e-26
662,5.786970053295217e-26
663,5.786878889022574e-26
664,5.786902696056226e-26
665,5.786789732900282e-26
666,5.78675184894116e-26
667,5.786713263550813e-26
668,5.786664682849023e-26
669,5.786600017167502e-26
670,5.786507478818995e-26
671,5.786482230805237e-26
672,5.786413230814908e-26
673,5.786111765391664e-26
674,5.786018741987632e-26
675,5.785883281559998e-26
676,5.785806002972996e-26
677,5.785786878471705e-26
678,5.785716803325557e-26
679,5.785661972814528e-26
680,5.785542115449529e-26
681,5.785554971490563e-26
682,5.785572930831478e-26
683,5.785542047418551e-26
684,5.785456130939026e-26
685,5.785479133045729e-26
686,5.785499587216683e-26
687,5.785380858041772e-26
688,5.785339246844468e-26
689,5.78542946792839e-26
690,5.785498102302225e-26
691,5.785295058306885e-26
692,5.785223424101749e-26
693,5.785283821870728e-26
694,5.78528265948027e-26
695,5.78514199065524e-26
696,5.785152122291073e-26
697,5.785215804267788e-26
698,5.785136596699472e-26
699,5.785227836506718e-26
700,5.785112160556525e-26
701,5.785120677255259e-26
702,5.785101351905003e-26
703,5.785059512916304e-26
704,5.784977425691862e-26
705,5.784961645393508e-26
706,5.784881227720194e-26
707,5.784745793653381e-26
708,5.784641391426836e-26
709,5.784686100287493e-26
710,5.784654450905897e-26
711,5.784616812549077e-26
712,5.784540307412587e-26
713,5.784471798909181e-26
714,5.784221542481559e-26
715,5.784260887585005e-26
716,5.784245498301301e-26
717,5.784233913049892e-26
718,5.784154204460641e-26
719,5.78413283383039e-26
720,5.784082484369876e-26
721,5.783932862310513e-26
722,5.78380321721979e-26
723,5.783895190325276e-26
724,5.783889167497938e-26
725,5.783741050756802e-26
726,5.78372991639886e-26
727,5.783686056035561e-26
728,5.783683020552007e-26
729,5.783588084667328e-26
730,5.783528842244505e-26
731,5.783448309027275e-26
732,5.783448020611696e-26
733,5.783436997773062e-26
734,5.78334436130072e-26
735,5.783344666918974e-26
736,5.783281285858025e-26
737,5.78334378707238e-26
738,5.783332756359193e-26
739,5.783297945664647e-26
740,5.783202329090525e-26
741,5.78321938685526e-26
742,5.783198098409618e-26
743,5.783157595695833e-26
744,5.783083445280484e-26
745,5.783139151675918e-26
746,5.783021417755257e-26
747,5.782979647953754e-26
748,5.782840035161561e-26
749,5.782924251087007e-26
750,5.782857823978138e-26
751,5.782728818759989e-26
752,5.78267470751304e-26
753,5.782871214960489e-26
754,5.782678388688955e-26
755,5.782761716697752e-26
756,5.782668414570114e-26
757,5.782653367717683e-26
758,5.782596583745564e-26
759,5.782540388633096e-26
760,5.782525345067287e-26
761,5.782382382243614e-26
762,5.782361462029309e-26
763,5.78242148319883e-26
764,5.7823737597497e-26
765,5.782340886617695e-26
766,5.782366140464985e-26
767,5.782304296975765e-26
768,5.782299433911156e-26
769,5.782307983146471e-26
770,5.78225379697764e-26
771,5.78206831077725e-26
772,5.782017080555318e-26
773,5.782062843387876e-26
774,5.782025603566739e-26
775,5.781970487411824e-26
776,5.781963122867764e-26
777,5.781839611585796e-26
778,5.781885065903547e-26
779,5.781771392833941e-26
780,5.781595166261244e-26
781,5.781708090072107e-26
782,5.781710783184431e-26
783,5.781615307547651e-26
784,5.78161436822838e-26
785,5.78156451417347e-26
786,5.781600579228119e-26
787,5.781567078663041e-26
788,5.78156942561818e-26
789,5.78142339147433e-26
790,5.781367307011062e-26
791,5.781348407589564e-26
792,5.781365879428202e-26
793,5.78127355559663e-26
794,5.781300943267245e-26
795,5.781186693255829e-26
796,5.78118053122316e-26
797,5.781237961661797e-26
798,5.781193920523168e-26
799,5.781176749692918e-26
800,5.781119654368345e-26
801,5.781022144547551e-26
802,5.780988462300194e-26
803,5.78104948237827e-26
804,5.780953187317079e-26
805,5.780981609435625e-26
806,5.780958301049227e-26
807,5.780830136920339e-26
808,5.780821911677498e-26
809,5.780689915788858e-26
810,5.780636757886401e-26
811,5.780548651400592e-26
812,5.78058679454076e-26
813,5.780646110024521e-26
814,5.78061725973927e-26
815,5.780538710212572e-26
816,5.780519840470132e-26
817,5.780485430720054e-26
818,5.780430792620751e-26
819,5.780426110553994e-26
820,5.780335122901659e-26
821,5.780247507882397e-26
822,5.780245116371523e-26
823,5.78027906499952e-26
824,5.780225099853286e-26
825,5.780116896648687e-26
826,5.780109729433576e-26
827,5.78019078728158e-26
828,5.779998413328392e-26
829,5.77998026387864e-26
830,5.779932264732306e-26
831,5.779997556569645e-26
832,5.779933347626911e-26
833,5.779767547916726e-26
834,5.779704700503594e-26
835,5.779670718729667e-26
836,5.779645978991849e-26
837,5.7796007546663e-26
838,5.779556947356913e-26
839,5.779442996648081e-26
840,5.779453180361566e-26
841,5.77936034367407e-26
842,5.779304442544009e-26
843,5.779304876094181e-26
844,5.779402079871734e-26
845,5.779330295741877e-26
846,5.779292664490123e-26
847,5.779237373232206e-26
848,5.779210940946389e-26
849,5.778995273188784e-26
850,5.779067432077259e-26
851,5.779087582981932e-26
852,5.77908899456635e-26
853,5.778942525922633e-26
854,5.778880939893307e-26
855,5.778848631429485e-26
856,5.778777698416097e-26
857,5.778823448869793e-26
858,5.778789167304338e-26
859,5.778859677086335e-26
860,5.778679083156685e-26
861,5.778663739527075e-26
862,5.778547767009751e-26
863,5.778535600407185e-26
864,5.778441148299298e-26
865,5.778431187878984e-26
866,5.778376690168841e-26
867,5.778431630881535e-26
868,5.778281768992741e-26
869,5.77823630426487e-26
870,5.778244478893285e-26
871,5.77830053270313e-26
872,5.778250792395099e-26
873,5.77816505796704e-26
874,5.77806503525516e-26
875,5.778192864240085e-26
876,5.778160256183089e-26
877,5.778029751208827e-26
878,5.778001717051882e-26
879,5.778014913529545e-26
880,5.777900916229406e-26
881,5.778018312848103e-26
882,5.777897677534938e-26
883,5.777888089896896e-26
884,5.777793929581851e-26
885,5.777785053157914e-26
886,5.777741635048505e-26
887,5.777790015000543e-26
888,5.777728203413186e-26
889,5.777666653573526e-26
890,5.777696483542844e-26
891,5.777835431212467e-26
892,5.777702076615452e-26
893,5.777710740843367e-26
894,5.777728347335513e-26
895,5.777692302374469e-26
896,5.777685392696771e-26
897,5.77763496783984e-26
898,5.777541788791135e-26
899,5.777513049376088e-26
900,5.777432411459436e-26
901,5.777448224401461e-26
902,5.777392898873714e-26
903,5.777391661661122e-26
904,5.777335795296483e-26
905,5.777381877587653e-26
906,5.777285451033325e-26
907,5.777390854522189e-26
908,5.777272788465879e-26
909,5.777255146085928e-26
910,5.777299427200654e-26
911,5.777298153135379e-26
912,5.777212506567268e-26
913,5.777070238174111e-26
914,5.777137860471353e-26
915,5.776937662314634e-26
916,5.776917157444678e-26
917,5.77694026328321e-26
918,5.776855782083654e-26
919,5.776860341116072e-26
920,5.776796023486236e-26
921,5.776711045494428e-26
922,5.776679185816168e-26
923,5.776465177487392e-26
924,5.776418708507639e-26
925,5.776498971232498e-26
926,5.776481983547081e-26
927,5.776373835915063e-26
928,5.776364858812951e-26
929,5.776237601473173e-26
930,5.776148235169106e-26
931,5.776115544468714e-26
932,5.7761373620561e-26
933,5.776069726685086e-26
934,5.776006636173744e-26
935,5.775993627924495e-26
936,5.775920652361166e-26
937,5.776037410966084e-26
938,5.775970012843415e-26
939,5.776042462586344e-26
940,5.775948578062456e-26
941,5.775988596271412e-26
942,5.775879873284645e-26
943,5.775770670388624e-26
944,5.775773234971076e-26
945,5.775858694500224e-26
946,5.775843967872262e-26
947,5.775920577686933e-26
948,5.775862693793858e-26
949,5.775788233557389e-26
950,5.775729038536645e-26
951,5.77572746570434e-26
952,5.775729600436373e-26
953,5.775690027834538e-26
954,5.775740078121467e-26
955,5.775672981828335e-26
